,id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,2962812,CD1,2018-04-17 00:00:00,8.7,14.0,12.1,,,
1,2962813,BL0,2018-04-17 00:00:00,,,,,,
2,2962814,GR4,2018-04-17 00:00:00,,13.4,9.9,,,
3,2962815,MY7,2018-04-17 00:00:00,10.0,17.6,,,,
4,2962816,HV1,2018-04-17 00:00:00,7.1,13.8,17.5,,,
5,2962817,GN3,2018-04-17 00:00:00,7.8,15.0,16.2,,,
6,2962818,GR9,2018-04-17 00:00:00,4.1,14.4,13.1,,,
7,2962819,LW2,2018-04-17 00:00:00,8.8,14.9,13.2,,,
8,2962820,GN0,2018-04-17 00:00:00,7.7,12.1,15.3,,,
9,2962821,KF1,2018-04-17 00:00:00,6.7,11.8,,,,
10,2962822,CD9,2018-04-17 00:00:00,5.9,15.0,43.1,,,
11,2962823,CT3,2018-04-17 00:00:00,20.0,9.4,5.4,,,
12,2962824,CT2,2018-04-17 00:00:00,9.0,,,,,
13,2962825,BX9,2018-04-17 00:00:00,9.1,,,,,
14,2962826,BX1,2018-04-17 00:00:00,,,9.1,,,
15,2962827,TH4,2018-04-17 00:00:00,5.8,16.6,31.7,,,
16,2962828,ST5,2018-04-17 00:00:00,8.0,18.0,,,,
17,2962829,RB7,2018-04-17 00:00:00,13.0,17.2,14.8,,,
18,2962830,TD5,2018-04-17 00:00:00,8.4,,,,,
19,2962868,CD1,2018-04-17 01:00:00,7.0,14.6,12.8,,,
20,2962869,BL0,2018-04-17 01:00:00,1.7,13.2,14.3,,,
21,2962870,GR4,2018-04-17 01:00:00,,12.9,9.9,,,
22,2962871,MY7,2018-04-17 01:00:00,4.7,18.8,,,,
23,2962872,HV1,2018-04-17 01:00:00,3.8,10.5,12.7,,,
24,2962873,GN3,2018-04-17 01:00:00,6.2,13.6,8.5,,,
25,2962874,GR9,2018-04-17 01:00:00,5.4,15.1,9.8,,,
26,2962875,LW2,2018-04-17 01:00:00,4.1,11.9,13.2,,,
27,2962876,GN0,2018-04-17 01:00:00,9.4,11.4,10.9,,,
28,2962877,KF1,2018-04-17 01:00:00,6.8,11.8,,,,
29,2962878,CD9,2018-04-17 01:00:00,,,45.2,,,
30,2962879,CT3,2018-04-17 01:00:00,9.0,10.6,5.8,,,
31,2962880,CT2,2018-04-17 01:00:00,10.0,,,,,
32,2962881,BX9,2018-04-17 01:00:00,6.3,,,,,
33,2962882,BX1,2018-04-17 01:00:00,,,6.3,,,
34,2962883,TH4,2018-04-17 01:00:00,6.0,16.6,25.6,,,
35,2962884,ST5,2018-04-17 01:00:00,,16.0,,,,
36,2962885,RB7,2018-04-17 01:00:00,,14.0,10.8,,,
37,2962886,TD5,2018-04-17 01:00:00,9.7,,,,,
38,2962924,CD1,2018-04-17 02:00:00,7.6,13.0,9.5,,,
39,2962925,BL0,2018-04-17 02:00:00,,,,,,
40,2962926,GR4,2018-04-17 02:00:00,,13.5,8.5,,,
41,2962927,MY7,2018-04-17 02:00:00,6.8,15.8,,,,
42,2962928,HV1,2018-04-17 02:00:00,3.6,10.5,16.0,,,
43,2962929,GN3,2018-04-17 02:00:00,6.2,14.3,7.9,,,
44,2962930,GR9,2018-04-17 02:00:00,6.3,14.3,9.5,,,
45,2962931,LW2,2018-04-17 02:00:00,7.2,14.4,11.3,,,
46,2962932,GN0,2018-04-17 02:00:00,6.9,12.9,12.0,,,
47,2962933,KF1,2018-04-17 02:00:00,6.3,10.9,,,,
48,2962934,CD9,2018-04-17 02:00:00,2.8,12.0,46.4,,,
49,2962935,CT3,2018-04-17 02:00:00,,11.4,9.5,,,
50,2962936,CT2,2018-04-17 02:00:00,13.0,,,,,
51,2962937,BX9,2018-04-17 02:00:00,7.3,,,,,
52,2962938,BX1,2018-04-17 02:00:00,,,7.0,,,
53,2962939,TH4,2018-04-17 02:00:00,6.0,17.8,27.8,,,
54,2962940,ST5,2018-04-17 02:00:00,9.0,17.0,,,,
55,2962941,RB7,2018-04-17 02:00:00,12.0,19.6,12.7,,,
56,2962942,TD5,2018-04-17 02:00:00,8.8,,,,,
57,2962980,CD1,2018-04-17 03:00:00,6.9,10.7,13.2,,,
58,2962981,BL0,2018-04-17 03:00:00,1.1,12.1,14.9,,,
59,2962982,GR4,2018-04-17 03:00:00,,12.1,8.1,,,
60,2962983,MY7,2018-04-17 03:00:00,7.6,15.2,,,,
61,2962984,HV1,2018-04-17 03:00:00,5.8,12.7,21.4,,,
62,2962985,GN3,2018-04-17 03:00:00,5.6,12.0,12.7,,,
63,2962986,GR9,2018-04-17 03:00:00,4.4,13.2,10.2,,,
64,2962987,LW2,2018-04-17 03:00:00,4.9,12.6,11.3,,,
65,2962988,GN0,2018-04-17 03:00:00,7.3,10.8,12.5,,,
66,2962989,KF1,2018-04-17 03:00:00,5.5,9.9,,,,
67,2962990,CD9,2018-04-17 03:00:00,,,55.6,,,
68,2962991,CT3,2018-04-17 03:00:00,12.0,11.8,5.7,,,
69,2962992,CT2,2018-04-17 03:00:00,9.0,,,,,
70,2962993,BX9,2018-04-17 03:00:00,6.6,,,,,
71,2962994,BX1,2018-04-17 03:00:00,,,9.7,,,
72,2962995,TH4,2018-04-17 03:00:00,6.2,15.8,30.2,,,
73,2962996,ST5,2018-04-17 03:00:00,8.0,13.0,,,,
74,2962997,RB7,2018-04-17 03:00:00,14.0,12.6,14.8,,,
75,2962998,TD5,2018-04-17 03:00:00,6.2,,,,,
76,2963036,CD1,2018-04-17 04:00:00,6.6,10.3,23.9,,,
77,2963037,BL0,2018-04-17 04:00:00,,,,,,
78,2963038,GR4,2018-04-17 04:00:00,,10.4,10.5,,,
79,2963039,MY7,2018-04-17 04:00:00,7.5,18.6,,,,
80,2963040,HV1,2018-04-17 04:00:00,8.0,16.7,38.4,,,
81,2963041,GN3,2018-04-17 04:00:00,5.7,12.4,28.5,,,
82,2963042,GR9,2018-04-17 04:00:00,3.1,11.9,21.4,,,
83,2963043,LW2,2018-04-17 04:00:00,6.6,9.9,12.7,,,
84,2963044,GN0,2018-04-17 04:00:00,6.4,8.1,14.4,,,
85,2963045,KF1,2018-04-17 04:00:00,5.1,9.2,,,,
86,2963046,CD9,2018-04-17 04:00:00,10.2,19.3,79.7,,,
87,2963047,CT3,2018-04-17 04:00:00,9.0,10.6,9.5,,,
88,2963048,CT2,2018-04-17 04:00:00,8.0,,,,,
89,2963049,BX9,2018-04-17 04:00:00,6.0,,,,,
